d,thk,m,rho,o_taper,i_taper,oval,e,mc,mom,stiff,moe,BS,UF,EC
83.37,9.14,1.76,825.57,1.51,1.01,0.02,0.37,9.97,42.86,36.89,24747.44,119.87,10265.88,-0.499356839
93.35,8.06,1.79,828.44,0.1,1.33,0.03,0.22,9.09,48.67,42.48,21441.64,114.67,10411.26,-0.516882265
81.26,7,1.3,793.03,2.7,1.58,0.04,0.49,9.71,22.69,20.57,18113.19,81.18,5568.55,-0.291307971
86.44,6.33,1.41,887.6,4.28,3.42,0.02,0.56,9.44,29.7,32.09,24948.35,99.79,6867.6,-0.543281917
106.9,8.44,2.28,872.57,5.79,4.7,0.01,0.61,9.41,53.47,60.23,18904.58,89.69,9993.82,-0.825402945
90.06,6.59,1.5,869.91,4.22,3.69,0,0.53,9.4,37.63,39.6,26163.9,111.95,8316.58,-0.53672043
89.97,7.13,1.36,734.38,3.45,2.1,0.01,0.49,9.99,25.17,30.71,19141.29,70.57,5592.27,-0.140399925
81.95,7.12,1.53,916.17,1.91,0.55,0.02,0.41,9.56,29.83,29.03,24559.28,103.39,7319.85,-0.654023108
95.04,8.03,1.85,842.47,3.42,2.31,0.02,0.5,9.93,37.08,41.08,19615.52,84.15,7848.39,-0.578834665
81.99,7.02,1.47,886.74,2.88,1.77,0,0.48,9.71,26.98,25.66,21907.77,94.42,6579.96,-0.564472845
84.13,6.44,1.5,953.4,5.1,4.66,0.03,0.62,9.83,34.71,30.1,25220.69,122.32,8214.71,-0.717920138
96.36,7.53,1.85,882.51,3.13,2.33,0,0.46,9.55,38.47,45.23,21664.3,88.77,7973.1,-0.698391102
76.98,7.23,1.56,984.64,3.98,3.1,0.05,0.6,9.84,32.16,22.66,23268,127.08,8352.79,-0.80893353
89.89,7.4,1.88,978.97,3.29,2.13,0.02,0.49,9.68,36.55,38.31,23297.25,99.91,8122.65,-0.96159848
96.65,7.87,1.97,896.94,3.3,2.35,0.01,0.51,9.46,50.74,44.06,20215.81,112.49,10461,-0.786787532
96.79,7.35,1.29,624.04,5.03,3.85,0.01,0.61,9.28,18.82,19.71,9485.63,43.83,3880.74,0.239536217
103.06,8.28,2.15,873.41,1.43,0.61,0,0.34,9.92,51.59,63.58,22783.95,95.27,9969.9,-0.781184175
86.14,7.22,1.38,770.96,3.35,1.68,0,0.5,9.74,26.63,29.55,21041.9,81.65,6120.78,-0.24945664
75.33,8.49,1.18,663.31,3.58,0.61,0.02,0.56,10.03,28.45,17.97,17768.61,105.93,5497.39,0.084773792
88.24,6.55,1.8,1073.08,5.38,5.09,0.01,0.58,9.71,44.96,36.85,26129.71,140.66,10161.48,-1.114182546
89.58,6.23,1.56,957.27,5.58,5.33,0,0.61,9.64,18.65,30.24,21240.42,58.68,4144.76,-0.754574873
91.22,7.94,1.9,916.5,1.78,1.68,0.05,0.47,9.75,44.18,41.56,22881.04,110.94,9657.81,-0.813081626
